date,accident_type,plane_type,operator,fatalities,category,first_flight,phase,nature
14-MAY-1923,Airplane - Airframe,Farman F.60 Goliath,Air Union,6,A1,1922,En route (ENR),International Scheduled Passenger
22-AUG-1927,Airplane - Airframe,Fokker F.VIII,KLM,1,A1,1926,En route (ENR),International Scheduled Passenger
27-JUL-1934,Airplane - Airframe,Curtiss AT-32C Condor II,Swissair,12,A1,1934,En route (ENR),Passenger
22-SEP-1934,Airplane - Airframe,Handley Page W.10,National Aviation Displays,4,A1,,En route (ENR),Unknown
10-JAN-1938,Airplane - Airframe,Lockheed 14-H Super Electra,Northwest Airlines,10,A1,1937,En route (ENR),Domestic Scheduled Passenger
18-MAR-1939,Airplane - Airframe,Boeing S.307 Stratoliner,Boeing,10,A1,1938-12-31,Maneuvering (MNV),Test
05-MAR-1942,Airplane - Airframe,Douglas C-39 (DC-2),USAAF,7,A1,1939,En route (ENR),Military
15-DEC-1942,Airplane - Airframe,Douglas DC-3A-191,Western Air Lines,17,A1,1936,En route (ENR),Domestic Scheduled Passenger
31-JAN-1943,Airplane - Airframe,Douglas C-53 Skytrooper (DC-3),USAAF,3,A1,1942,En route (ENR),Military
02-AUG-1943,Airplane - Airframe,Douglas C-47A (DC-3),USAAF,5,A1,1943,En route (ENR),Military
16-NOV-1943,Airplane - Airframe,Douglas C-47A (DC-3),USAAF,19,A1,1943,En route (ENR),Military
07-FEB-1944,Airplane - Airframe,Douglas C-47A (DC-3),USAAF,4,A1,1943,Maneuvering (MNV),Military
26-MAY-1944,Airplane - Airframe,Douglas Dakota III (DC-3),RAF,,A1,1943,Unknown (UNK),Military
03-AUG-1944,Airplane - Airframe,Douglas C-47A (DC-3),USAAF,28,A1,1943,En route (ENR),Military
28-NOV-1944,Airplane - Airframe,Ford 5-AT-D Tri-Motor,TACA de Honduras,16,A1,,En route (ENR),Domestic Scheduled Passenger
22-MAR-1945,Airplane - Airframe,Curtiss C-46D,USAAF,2,A1,1944,En route (ENR),Military
20-APR-1945,Airplane - Airframe,Douglas C-47 (DC-3),USAAF,25,A1,1942,En route (ENR),Military
02-JUN-1945,Airplane - Airframe,Douglas Dakota IV (DC-3),RAF,5,A1,1945,En route (ENR),Military
01-JUL-1945,Airplane - Airframe,Douglas C-47A (DC-3),USAAF,5,A1,1944,En route (ENR),Military
25-JUL-1945,Airplane - Airframe,Douglas TC-47B (DC-3),USAAF,13,A1,1945,En route (ENR),Military
08-SEP-1945,Airplane - Airframe,Douglas Dakota IV (DC-3),RAF,41,A1,1945,En route (ENR),Military
19-NOV-1945,Airplane - Airframe,Curtiss R5C-1 (C-46),USMC,0,A1,1944,Unknown (UNK),Military
14-JAN-1946,Airplane - Airframe,Lisunov Li-2,Aeroflot / Ukraine,22,A1,1945,En route (ENR),Domestic Scheduled Passenger
18-JAN-1946,Airplane - Airframe,Douglas DC-3-201E,Eastern Air Lines,17,A1,1940,En route (ENR),Domestic Scheduled Passenger
06-FEB-1946,Airplane - Airframe,Junkers Ju-52/3m,Aeroflot / Turkmenistan,6,A1,1939,Approach (APR),Unknown
10-JUL-1946,Airplane - Airframe,Curtiss R5C-1 (C-46),USMC,0,A1,1944,En route (ENR),Military
25-JUL-1946,Airplane - Airframe,Douglas Dakota IV (DC-3),RAF,22,A1,1945,En route (ENR),Military
27-JUL-1946,Airplane - Airframe,SNCASO S.O.93 Corse,SNCASO,2,A1,1945-08-17,Maneuvering (MNV),Demonstration
28-JAN-1948,Airplane - Airframe,Douglas C-47B (DC-3),Airline Transport Carriers,32,A1,1945,En route (ENR),Domestic Non Scheduled Passenger
16-MAY-1948,Airplane - Airframe,Curtiss C-46E,Slick Airways,2,A1,1945,Approach (APR),Cargo
29-AUG-1948,Airplane - Airframe,Martin 2-0-2,Northwest Airlines,37,A1,1947,En route (ENR),Domestic Scheduled Passenger
30-SEP-1948,Airplane - Airframe,Lisunov Li-2,Aeroflot / Kazakstan,15,A1,1946,En route (ENR),Domestic Scheduled Passenger
06-JAN-1949,Airplane - Airframe,Douglas C-47A (DC-3),Coastal Cargo,2,A1,1944,En route (ENR),Cargo
06-MAY-1949,Airplane - Airframe,Bristol 170 Freighter 31,Bristol,7,A1,,Maneuvering (MNV),Test
27-MAY-1949,Airplane - Airframe,Curtiss C-46F,Trans-Air Hawaii,2,A1,1945,Approach (APR),Unknown
18-DEC-1949,Airplane - Airframe,Douglas C-47A (DC-3),Sabena,8,A1,1943,En route (ENR),International Scheduled Passenger
21-MAR-1950,Airplane - Airframe,Bristol 170 Freighter 21,Bristol,4,A1,1946,Maneuvering (MNV),Test
30-MAY-1950,Airplane - Airframe,Douglas C-47 (DC-3),Aerovias Brasil,13,A1,1943,En route (ENR),Domestic Scheduled Passenger
17-JUL-1950,Airplane - Airframe,Douglas C-47A (DC-3),Indian National Airways,22,A1,1944,En route (ENR),Domestic Scheduled Passenger
29-JUL-1950,Airplane - Airframe,Bristol 170 Freighter 21,CAT,26,A1,1946,En route (ENR),International Scheduled Passenger
27-NOV-1950,Airplane - Airframe,Lockheed P2V-2 Neptune,US Navy,5,A1,,En route (ENR),Military
07-FEB-1951,Airplane - Airframe,Fairchild R4Q-1 Flying Boxcar (C-11,USMC,9,A1,,En route (ENR),Military
19-JUL-1951,Airplane - Airframe,Lockheed L-749A Constellation,Eastern Air Lines,0,A2,1949,En route (ENR),Domestic Scheduled Passenger
11-AUG-1951,Airplane - Airframe,Douglas DC-3D,Air France,5,A1,1946,En route (ENR),Training
17-SEP-1951,Airplane - Airframe,Vickers Valetta C.1,RAF,4,A1,1949-05-03,Unknown (UNK),Military
27-JUL-1952,Airplane - Airframe,Boeing 377 Stratocruiser,Pan Am,1,A2,1949-09-28,En route (ENR),International Scheduled Passenger
26-JAN-1953,Airplane - Airframe,Douglas C-47 (DC-3),LAI,19,A1,1942,En route (ENR),Domestic Scheduled Passenger
14-FEB-1953,Airplane - Airframe,Douglas DC-6,National Airlines,46,A1,1947,En route (ENR),Domestic Scheduled Passenger
29-MAR-1953,Airplane - Airframe,Vickers 616 Viking 1B,Central African Airways,13,A1,1947,En route (ENR),International Scheduled Passenger
14-APR-1953,Airplane - Airframe,Douglas C-47A (DC-3),Airways (India),3,A1,1943,En route (ENR),Cargo
16-APR-1953,Airplane - Airframe,Douglas C-47A (DC-3),Aigle Azur,30,A1,1944,En route (ENR),Domestic Non Scheduled Passenger
02-MAY-1953,Airplane - Airframe,de Havilland DH-106 Comet 1,BOAC,43,A1,1952-04-09,En route (ENR),International Scheduled Passenger
22-MAY-1953,Airplane - Airframe,Curtiss C-46F,"USAF, op.for Resort Airlines",2,A1,1945,En route (ENR),Ferry/positioning
07-JUL-1953,Airplane - Airframe,Lockheed R7V-1 Super Constellation,US Navy,6,A1,1953,En route (ENR),Military
28-SEP-1953,Airplane - Airframe,Curtiss C-46F,"USAF, op.for Resort Airlines",25,A1,1945,Approach (APR),Domestic Non Scheduled Passenger
25-NOV-1953,Airplane - Airframe,Bristol 170 Freighter 21E,RAAF,3,A1,,Unknown (UNK),Military
10-JAN-1954,Airplane - Airframe,de Havilland DH-106 Comet 1,BOAC,35,A1,1951-01-09,En route (ENR),International Scheduled Passenger
08-APR-1954,Airplane - Airframe,de Havilland DH-106 Comet 1,"BOAC, op.for South African Airways",21,A1,1952-09-10,En route (ENR),International Scheduled Passenger
30-SEP-1954,Airplane - Airframe,Handley Page Marathon T.2,RAF,5,A1,1950,Unknown (UNK),Military
05-FEB-1955,Airplane - Airframe,Bristol 170 Freighter 21E,West African Airways,13,A1,,En route (ENR),Domestic Scheduled Passenger
04-AUG-1955,Airplane - Airframe,Convair CV-240-0,American Airlines,30,A1,1948,Approach (APR),Domestic Scheduled Passenger
10-SEP-1955,Airplane - Airframe,Latécoère 631,France-Hydro,16,A1,1948-11-28,En route (ENR),Ferry/positioning
29-DEC-1955,Airplane - Airframe,Lockheed 18 Lodestar,Gulf Oil Corporation,2,A1,1943,En route (ENR),Executive
10-APR-1956,Airplane - Airframe,U-1A Otter (DHC-3),RCAF,3,A1,1953,En route (ENR),Military
20-JUN-1956,Airplane - Airframe,Lockheed L-1049E-55 Super Constella,LAV,74,A1,1954,En route (ENR),International Scheduled Passenger
07-APR-1957,Airplane - Airframe,Curtiss C-46A,Varig,40,A1,1944,Approach (APR),Domestic Scheduled Passenger
17-APR-1957,Airplane - Airframe,Vickers Valetta C.1,RAF,26,A1,1949-06-30,En route (ENR),Military
24-AUG-1957,Airplane - Airframe,Lockheed 18 Learstar I,private,3,A1,1943,En route (ENR),Cargo
30-AUG-1957,Airplane - Airframe,Scottish Aviation Twin Pioneer 1,Kroonduif,2,A1,1957-06-05,Maneuvering (MNV),Training
21-NOV-1957,Airplane - Airframe,Bristol 170 Freighter 31,Straits Air Freight Express,4,A1,,En route (ENR),Cargo
07-DEC-1957,Airplane - Airframe,Scottish Aviation Twin Pioneer 1,Scottish Airlines,6,A1,1956-08-26,Unknown (UNK),Demonstration
08-DEC-1957,Airplane - Airframe,Douglas DC-4,Aerolineas Argentinas,61,A1,1944,En route (ENR),Domestic Scheduled Passenger
18-DEC-1957,Airplane - Airframe,Ilyushin Il-12,Aeroflot / East Siberia,27,A1,1947,En route (ENR),Domestic Scheduled Passenger
09-JUL-1958,Airplane - Airframe,Douglas C-47A (DC-3),Indian Airlines,3,A1,1943,Unknown (UNK),Cargo
02-DEC-1958,Airplane - Airframe,Vickers 732 Viscount,Hunting-Clan,6,A1,1955,En route (ENR),Test
29-MAR-1959,Airplane - Airframe,Douglas C-47A (DC-3),Indian Airlines,24,A1,1944,En route (ENR),Domestic Scheduled Passenger
12-MAY-1959,Airplane - Airframe,Vickers 745D Viscount,Capital Airlines,31,A1,1957,En route (ENR),Domestic Scheduled Passenger
29-SEP-1959,Airplane - Airframe,Lockheed L-188A Electra,Braniff Airways,34,A1,1959,En route (ENR),Domestic Scheduled Passenger
04-NOV-1959,Airplane - Airframe,Douglas C-54A (DC-4),Wheeler Airlines,5,A1,1944,En route (ENR),Cargo
17-MAR-1960,Airplane - Airframe,Lockheed L-188C Electra,Northwest Orient Airlines,63,A1,1959,En route (ENR),Domestic Scheduled Passenger
27-JUN-1960,Airplane - Airframe,Boeing KC-97G Stratofreighter,USAF,5,A1,,En route (ENR),Military
20-JUL-1960,Airplane - Airframe,Ilyushin Il-14M,Aeroflot / Komi,23,A1,1957,En route (ENR),Domestic Scheduled Passenger
15-OCT-1960,Airplane - Airframe,Curtiss C-46F,Capitol Airways,2,A1,1945,Approach (APR),Cargo
10-MAY-1961,Airplane - Airframe,Lockheed L-1649A Starliner,Air France,78,C1,1957,En route (ENR),International Scheduled Passenger
19-JUL-1961,Airplane - Airframe,Douglas DC-6,Aerolineas Argentinas,67,A1,1948,En route (ENR),Domestic Scheduled Passenger
30-NOV-1961,Airplane - Airframe,Vickers 720 Viscount,Ansett-ANA,15,A1,1954,En route (ENR),Domestic Scheduled Passenger
22-MAY-1962,Airplane - Airframe,Boeing 707-124,Continental Air Lines,45,C1,1959,En route (ENR),Domestic Scheduled Passenger
22-MAY-1962,Airplane - Airframe,Lockheed EC-121M Super Constellatio,US Navy,26,A1,1954,En route (ENR),Military
23-NOV-1962,Airplane - Airframe,Vickers 745D Viscount,United Airlines,17,A1,1956,En route (ENR),Domestic Scheduled Passenger
03-JUN-1963,Airplane - Airframe,Douglas DC-3 Hiper,Indian Airlines,29,A1,1944,En route (ENR),Domestic Scheduled Passenger
15-JUL-1964,Airplane - Airframe,Boeing 720-030B,Lufthansa,3,A1,1962-01-04,Maneuvering (MNV),Training
09-OCT-1964,Airplane - Airframe,Ilyushin Il-14P,Tarom,31,A1,1960,En route (ENR),Domestic Scheduled Passenger
08-DEC-1964,Airplane - Airframe,Douglas C-47 (DC-3),Aerolineas Abaroa,17,C1,1943,En route (ENR),Domestic Scheduled Passenger
17-MAR-1965,Airplane - Airframe,Handley Page HPR-7 Herald 202,Eastern Provincial Airways,8,A1,1962-03-02,En route (ENR),Domestic Scheduled Passenger
24-MAR-1965,Airplane - Airframe,Douglas C-124C Globemaster II,USAF,6,A1,,En route (ENR),Military
10-APR-1965,Airplane - Airframe,Handley Page HPR-7 Herald 207,Alia,54,A1,1963,En route (ENR),Int'l Non Scheduled Passenger
08-JUL-1965,Airplane - Airframe,Douglas DC-6B,Canadian Pacific,52,C1,1953,En route (ENR),Domestic Scheduled Passenger
12-AUG-1965,Airplane - Airframe,Curtiss C-46A,Paraense Transportes Aéreos,13,A1,1944,En route (ENR),Domestic Scheduled Passenger
04-OCT-1965,Airplane - Airframe,Curtiss C-46A,SEA Colombia,4,A1,1944,En route (ENR),Cargo
15-APR-1966,Airplane - Airframe,Lockheed CC-130B Hercules,RCAF,0,A1,1960,En route (ENR),Military
05-JUN-1966,Airplane - Airframe,de Havilland DH-125-1,Air Affaires,2,A1,1964,Maneuvering (MNV),Demonstration
06-AUG-1966,Airplane - Airframe,BAC One-Eleven 203AE,Braniff Airways,42,A1,1965,En route (ENR),Domestic Scheduled Passenger
22-SEP-1966,Airplane - Airframe,Vickers 832 Viscount,Ansett-ANA,24,A1,1959,En route (ENR),Domestic Scheduled Passenger
