"","Model"
"1","Aeromarine 75"
"2","Aérospatiale / BAC Concorde 101"
"3","Aérospatiale / BAC Concorde 102"
"4","Aérospatiale SN.600 Corvette"
"5","Aérospatiale SN.601 Corvette"
"6","Airbus"
"7","Airbus A300"
"8","Airbus A300?"
"9","Airbus A300B2-101"
"10","Airbus A300B2-1C"
"11","Airbus A300B2-202"
"12","Airbus A300B2-203"
"13","Airbus A300B4"
"14","Airbus A300B4-120"
"15","Airbus A300B4-203"
"16","Airbus A300B4-203F"
"17","Airbus A300B4-220"
"18","Airbus A300B4-601"
"19","Airbus A300B4-605R"
"20","Airbus A300B4-605R ?"
"21","Airbus A300B4-620"
"22","Airbus A300B4-620 ?"
"23","Airbus A300B4-622R"
"24","Airbus A300C4-620"
"25","Airbus A300F4-605R"
"26","Airbus A300F4-622R"
"27","Airbus A310"
"28","Airbus A310-203"
"29","Airbus A310-204"
"30","Airbus A310-222"
"31","Airbus A310-300"
"32","Airbus A310-304"
"33","Airbus A310-304ET"
"34","Airbus A310-304F"
"35","Airbus A310-308"
"36","Airbus A310-324"
"37","Airbus A310-324ET"
"38","Airbus A310-325"
"39","Airbus A319-111"
"40","Airbus A319-112"
"41","Airbus A319-114"
"42","Airbus A319-115 (WL)"
"43","Airbus A319-131"
"44","Airbus A320"
"45","Airbus A320 ?"
"46","Airbus A320-111"
"47","Airbus A320-211"
"48","Airbus A320-212"
"49","Airbus A320-214"
"50","Airbus A320-216"
"51","Airbus A320-231"
"52","Airbus A320-232"
"53","Airbus A320-233"
"54","Airbus A321"
"55","Airbus A321-111"
"56","Airbus A321-131"
"57","Airbus A321-211"
"58","Airbus A321-211 (WL)"
"59","Airbus A321-213"
"60","Airbus A321-231"
"61","Airbus A321-231 (WL)"
"62","Airbus A321-271N"
"63","Airbus A330-202"
"64","Airbus A330-203"
"65","Airbus A330-223"
"66","Airbus A330-243"
"67","Airbus A330-301"
"68","Airbus A330-302"
"69","Airbus A330-303"
"70","Airbus A330-321"
"71","Airbus A330-322"
"72","Airbus A330-323"
"73","Airbus A330-323X"
"74","Airbus A330-342"
"75","Airbus A330-343"
"76","Airbus A330-343X"
"77","Airbus A340-211"
"78","Airbus A340-212"
"79","Airbus A340-311"
"80","Airbus A340-312"
"81","Airbus A340-313"
"82","Airbus A340-313X"
"83","Airbus A340-541"
"84","Airbus A340-642"
"85","Airbus A380-842"
"86","Airbus A380-861"
"87","Airbus A400M Atlas"
"88","Airspeed AS.57 Ambassador 2"
"89","Alenia C-27J Spartan"
"90","Alenia G-222"
"91","AMI C-47TP (DC-3T)"
"92","AMI DC-3-65TP"
"93","Amiot AAC.1 (Junkers Ju-52)"
"94","Antononv An-2T"
"95","Antonov"
"96","Antonov An-10"
"97","Antonov An-10A"
"98","Antonov An-12"
"99","Antonov An-124-100"
"100","Antonov An-12A"
"101","Antonov An-12AP"
"102","Antonov An-12B"
"103","Antonov An-12BK"
"104","Antonov An-12BK-PPS"
"105","Antonov An-12BP"
"106","Antonov An-12RR"
"107","Antonov An-12TB"
"108","Antonov An-12TP-2"
"109","Antonov An-140"
"110","Antonov An-140-100"
